ST,PVI,Share GOP,dist_loss,porp_loss,State,row,column,Population Excluded,Districts Lost,State Status,porp_loss_bin,Lean,dist_loss_117,porp_loss_117,Population Excluded (117th),Districts Lost (117th),State Status (117th),porp_loss_bin_117,Lean (117th),Change
NC,R+3,0.53,-0.1036116314489881,-0.007400830817784865,North Carolina ,-5,9.0,"1% Excluded, Against Dems",0.1 Dem Districts Lost,Map Completed,0.0,Dems Excluded,-0.7676470696329112,-0.05904977458714701,"6% Excluded, Against Dems",0.77 Dem Districts Lost,Multi-District,-1,Dems Excluded,Less Partisan Than 2020
NC,R+3,0.53,-2.2426418948429436,-0.16018870677449598,North Carolina (Overturned),-7,10.0,"16% Excluded, Against Dems",2.24 Dem Districts Lost,Overturned Map,-2.0,Dems Excluded,-0.7676470696329112,-0.05904977458714701,"6% Excluded, Against Dems",0.77 Dem Districts Lost,Multi-District,-1,Dems Excluded,More Partisan Than 2020
ND,R+20,0.7,-0.2535087719298246,-0.2535087719298246,North Dakota ,-2,3.5,"25% Excluded, Against Dems",0.25 Dem Districts Lost,Single District,-3.0,Dems Excluded,-0.2535087719298246,-0.2535087719298246,"25% Excluded, Against Dems",0.25 Dem Districts Lost,Single District,-3,Dems Excluded,No Change Since 2020
OH,R+6,0.56,-2.3519958309868656,-0.15679972206579104,Ohio ,-3,8.0,"16% Excluded, Against Dems",2.35 Dem Districts Lost,Map Completed,-2.0,Dems Excluded,-2.3115955431306805,-0.14447472144566753,"14% Excluded, Against Dems",2.31 Dem Districts Lost,Multi-District,-1,Dems Excluded,More Partisan Than 2020
OH,R+6,0.56,-2.927585787909539,-0.19517238586063593,Ohio (Overturned),-7,11.0,"20% Excluded, Against Dems",2.93 Dem Districts Lost,Overturned Map,-2.0,Dems Excluded,-2.3115955431306805,-0.14447472144566753,"14% Excluded, Against Dems",2.31 Dem Districts Lost,Multi-District,-1,Dems Excluded,More Partisan Than 2020
OK,R+20,0.7,-1.3605263157894738,-0.27210526315789474,Oklahoma ,-6,4.5,"27% Excluded, Against Dems",1.36 Dem Districts Lost,Map Completed,-3.0,Dems Excluded,-1.2164098090530189,-0.24328196181060377,"24% Excluded, Against Dems",1.22 Dem Districts Lost,Multi-District,-2,Dems Excluded,More Partisan Than 2020
OR,D+6,0.44,0.8978616474720149,0.14964360791200249,Oregon ,-4,1.5,"15% Excluded, Against GOP",0.9 GOP Districts Lost,Map Completed,1.0,GOP Excluded,0.3070460395387009,0.06140920790774018,"6% Excluded, Against GOP",0.31 GOP Districts Lost,Multi-District,1,GOP Excluded,More Partisan Than 2020
PA,R+2,0.52,-0.16023236386924467,-0.009425433168779099,Pennsylvania,-3,9.0,"1% Excluded, Against Dems",0.16 Dem Districts Lost,Map Completed,0.0,Dems Excluded,-0.6204972043225183,-0.03447206690680657,"3% Excluded, Against Dems",0.62 Dem Districts Lost,Multi-District,0,Dems Excluded,Less Partisan Than 2020
RI,D+8,0.42,0.8311012235817575,0.41555061179087877,Rhode Island ,-2,11.5,"42% Excluded, Against GOP",0.83 GOP Districts Lost,Map Completed,4.0,GOP Excluded,0.6480506117908788,0.3240253058954394,"32% Excluded, Against GOP",0.65 GOP Districts Lost,Multi-District,3,GOP Excluded,More Partisan Than 2020
SC,R+8,0.58,-1.7119932478582438,-0.2445704639797491,South Carolina ,-6,8.5,"24% Excluded, Against Dems",1.71 Dem Districts Lost,Map Completed,-2.0,Dems Excluded,-1.5678767411217889,-0.223982391588827,"22% Excluded, Against Dems",1.57 Dem Districts Lost,Multi-District,-2,Dems Excluded,More Partisan Than 2020
SD,R+16,0.66,-0.2935087719298245,-0.2935087719298245,South Dakota ,-3,4.0,"28% Excluded, Against Dems",0.29 Dem Districts Lost,Single District,-3.0,Dems Excluded,-0.2935087719298245,-0.2935087719298245,"28% Excluded, Against Dems",0.29 Dem Districts Lost,Single District,-3,Dems Excluded,No Change Since 2020
TN,R+14,0.64,-2.0119932478582427,-0.22355480531758254,Tennessee ,-5,7.0,"22% Excluded, Against Dems",2.01 Dem Districts Lost,Map Completed,-2.0,Dems Excluded,-1.104975703998596,-0.12277507822206621,"12% Excluded, Against Dems",1.1 Dem Districts Lost,Multi-District,-1,Dems Excluded,More Partisan Than 2020
TX,R+5,0.55,-2.688920513450128,-0.07076106614342442,Texas ,-7,4.0,"7% Excluded, Against Dems",2.69 Dem Districts Lost,Map Completed,-1.0,Dems Excluded,-1.9981849387159976,-0.05550513718655549,"6% Excluded, Against Dems",2 Dem Districts Lost,Multi-District,-1,Dems Excluded,More Partisan Than 2020
UT,R+13,0.63,-1.294035087719298,-0.3235087719298245,Utah ,-5,4.0,"32% Excluded, Against Dems",1.29 Dem Districts Lost,Map Completed,-3.0,Dems Excluded,-1.149918580982844,-0.287479645245711,"28% Excluded, Against Dems",1.15 Dem Districts Lost,Multi-District,-3,Dems Excluded,More Partisan Than 2020
VT,D+15,0.35,0.34555061179087876,0.34555061179087876,Vermont ,-1,10.0,"35% Excluded, Against GOP",0.35 GOP Districts Lost,Single District,3.0,GOP Excluded,0.34555061179087876,0.34555061179087876,"35% Excluded, Against GOP",0.35 GOP Districts Lost,Single District,3,GOP Excluded,No Change Since 2020
VA,D+2,0.48,0.4432693599007127,0.04029721453642843,Virginia ,-5,8.0,"4% Excluded, Against GOP",0.44 GOP Districts Lost,Map Completed,0.0,GOP Excluded,0.3697637680902943,0.033614888008208575,"3% Excluded, Against GOP",0.37 GOP Districts Lost,Multi-District,0,GOP Excluded,More Partisan Than 2020
WA,D+8,0.42,0.8325088842823147,0.08325088842823147,Washington ,-2,1.5,"8% Excluded, Against GOP",0.83 GOP Districts Lost,Map Completed,1.0,GOP Excluded,0.9370412382994568,0.09370412382994568,"9% Excluded, Against GOP",0.94 GOP Districts Lost,Multi-District,1,GOP Excluded,Less Partisan Than 2020
WV,R+23,0.73,-0.4470175438596491,-0.22350877192982455,West Virginia ,-4,7.5,"22% Excluded, Against Dems",0.45 Dem Districts Lost,Map Completed,-2.0,Dems Excluded,-0.7635087719298244,-0.2545029239766081,"25% Excluded, Against Dems",0.76 Dem Districts Lost,Multi-District,-3,Dems Excluded,Less Partisan Than 2020
WI,R+2,0.52,-1.1400967328363665,-0.1425120916045458,Wisconsin ,-2,5.5,"14% Excluded, Against Dems",1.14 Dem Districts Lost,Map Completed,-1.0,Dems Excluded,-1.2613169550189838,-0.15766461937737297,"16% Excluded, Against Dems",1.26 Dem Districts Lost,Multi-District,-2,Dems Excluded,Less Partisan Than 2020
WY,R+26,0.76,-0.24,-0.24,Wyoming,-3,3.0,"24% Excluded, Against Dems",0.24 Dem Districts Lost,Single District,-2.0,Dems Excluded,-0.24,-0.24,"24% Excluded, Against Dems",0.24 Dem Districts Lost,Single District,-2,Dems Excluded,No Change Since 2020
