ST,PVI,Share GOP,dist_loss,porp_loss,State,row,column,Population Excluded,Districts Lost,State Status,porp_loss_bin,dist_loss_112,porp_loss_112,Population Excluded (112th),Districts Lost (112th),State Status (112th),porp_loss_bin_112,Change
HI,D+20,0.3,0.5911012235817575,0.29555061179087877,Hawaii,-8,0.5,"3% Excluded, Against GOP",0.59 GOP Districts Lost,Map Completed,3,0.7511012235817576,0.3755506117908788,"38% Excluded, Against GOP",0.75 GOP Districts Lost,Multi-District,4,Less Partisan Than 2010
ID,R+18,0.68,-0.547017543859649,-0.2735087719298245,Idaho,-3,2.0,"27% Excluded, Against Dems",0.55 Dem Districts Lost,Map Completed,-3,-0.567017543859649,-0.2835087719298245,"28% Excluded, Against Dems",0.57 Dem Districts Lost,Multi-District,-3,Less Partisan Than 2010
IL,D+8,0.42,2.276250503660064,0.126458361314448,Illinois,-3,6.0,"13% Excluded, Against GOP",2.28 GOP Districts Lost,Map Completed,1,1.4190981752618903,0.07468937764536265,"7% Excluded, Against GOP",1.42 GOP Districts Lost,Multi-District,1,More Partisan Than 2010
IN,R+5,0.55,-1.589343673190558,-0.17659374146561754,Indiana,-3,7.0,"18% Excluded, Against Dems",1.59 Dem Districts Lost,Map Completed,-2,-1.199681055106887,-0.13329789501187633,"13% Excluded, Against Dems",1.2 Dem Districts Lost,Multi-District,-1,More Partisan Than 2010
IA,D+1,0.49,0.44302165159285645,0.11075541289821411,Iowa,-3,5.0,"11% Excluded, Against GOP",0.44 GOP Districts Lost,Map Completed,1,0.5608514156597719,0.11217028313195439,"11% Excluded, Against GOP",0.56 GOP Districts Lost,Multi-District,1,Less Partisan Than 2010
KS,R+12,0.62,-1.236409809053019,-0.3091024522632547,Kansas,-5,5.0,"31% Excluded, Against Dems",1.24 Dem Districts Lost,Map Completed,-3,-1.1151895868704016,-0.2787973967176004,"28% Excluded, Against Dems",1.12 Dem Districts Lost,Multi-District,-3,More Partisan Than 2010
KY,R+13,0.63,-1.2215350877192979,-0.20358918128654965,Kentucky,-4,6.5,"2% Excluded, Against Dems",1.22 Dem Districts Lost,Map Completed,-2,-1.5062535370684778,-0.2510422561780796,"25% Excluded, Against Dems",1.51 Dem Districts Lost,Multi-District,-3,Less Partisan Than 2010
LA,R+12,0.62,-1.144975703998595,-0.19082928399976584,Louisiana,-6,5.5,"19% Excluded, Against Dems",1.14 Dem Districts Lost,Map Completed,-2,-1.5719932478582432,-0.22457046397974903,"22% Excluded, Against Dems",1.57 Dem Districts Lost,Multi-District,-2,Less Partisan Than 2010
ME,D+6,0.44,0.5368409343715239,0.26842046718576196,Maine,0,11.5,"27% Excluded, Against GOP",0.54 GOP Districts Lost,Map Completed,3,0.6420294850303154,0.3210147425151577,"32% Excluded, Against GOP",0.64 GOP Districts Lost,Multi-District,3,Less Partisan Than 2010
MD,D+10,0.4,2.0367442870245696,0.2545930358780712,Maryland,-4,8.5,"25% Excluded, Against GOP",2.04 GOP Districts Lost,Map Completed,3,1.270462316990694,0.15880778962383674,"16% Excluded, Against GOP",1.27 GOP Districts Lost,Multi-District,2,More Partisan Than 2010
MA,D+10,0.4,3.1477468147656675,0.3497496460850742,Massachusetts,-2,10.5,"35% Excluded, Against GOP",3.15 GOP Districts Lost,Map Completed,3,3.6066212364514754,0.36066212364514755,"36% Excluded, Against GOP",3.61 GOP Districts Lost,Multi-District,4,Less Partisan Than 2010
MI,D+4,0.46,-0.3628904073798003,-0.025920743384271448,Michigan,-2,7.5,"3% Excluded, Against Dems",0.36 Dem Districts Lost,Map Completed,0,0.6308509198788705,0.042056727991924704,"4% Excluded, Against GOP",0.63 GOP Districts Lost,Multi-District,0,Less Partisan Than 2010
MN,D+2,0.48,-0.20229659786310616,-0.02528707473288827,Minnesota,-2,4.5,"3% Excluded, Against Dems",0.2 Dem Districts Lost,Map Completed,0,0.1755289816622585,0.021941122707782312,"2% Excluded, Against GOP",0.18 GOP Districts Lost,Multi-District,0,More Partisan Than 2010
MS,R+9,0.59,-0.5514669320687706,-0.13786673301719266,Mississippi,-6,6.5,"14% Excluded, Against Dems",0.55 Dem Districts Lost,Map Completed,-1,-0.4649757039985949,-0.11624392599964872,"12% Excluded, Against Dems",0.46 Dem Districts Lost,Multi-District,-1,More Partisan Than 2010
MO,R+5,0.55,-1.3255020197880683,-0.16568775247350853,Missouri,-4,5.5,"17% Excluded, Against Dems",1.33 Dem Districts Lost,Map Completed,-2,-0.8559715003127595,-0.0951079444791955,"1% Excluded, Against Dems",0.86 Dem Districts Lost,Multi-District,-1,More Partisan Than 2010
MT,R+7,0.57,-0.2393922651933702,-0.2393922651933702,Montana,-2,2.5,"24% Excluded, Against Dems",0.24 Dem Districts Lost,Single District,-2,-0.2393922651933702,-0.2393922651933702,"24% Excluded, Against Dems",0.24 Dem Districts Lost,Single District,-2,No Change Since 2010
NE,R+12,0.62,-0.882499597617898,-0.2941665325392993,Nebraska ,-4,4.5,"28% Excluded, Against Dems",0.88 Dem Districts Lost,Map Completed,-3,-0.8729010371231944,-0.29096701237439815,"28% Excluded, Against Dems",0.87 Dem Districts Lost,Multi-District,-3,More Partisan Than 2010
NV,D+2,0.48,0.5162193222072646,0.12905483055181616,Nevada ,-4,2.5,"13% Excluded, Against GOP",0.52 GOP Districts Lost,Map Completed,1,0.31744866917815373,0.10581622305938458,Perfect Match,0.32 GOP Districts Lost,Multi-District,1,More Partisan Than 2010
NH,D+1,0.49,0.13464213854555906,0.06732106927277953,New Hampshire ,-1,11.0,"7% Excluded, Against GOP",0.13 GOP Districts Lost,Map Completed,1,0.30403984884919266,0.15201992442459633,"15% Excluded, Against GOP",0.3 GOP Districts Lost,Multi-District,2,Less Partisan Than 2010
NJ,D+6,0.44,1.077780961056848,0.08981508008807067,New Jersey ,-3,10.0,"9% Excluded, Against GOP",1.08 GOP Districts Lost,Map Completed,1,1.7609526849106398,0.13545789883928,"14% Excluded, Against GOP",1.76 GOP Districts Lost,Multi-District,1,Less Partisan Than 2010
NM,D+4,0.46,0.5215723593363624,0.17385745311212078,New Mexico ,-6,3.5,"17% Excluded, Against GOP",0.52 GOP Districts Lost,Map Completed,2,0.46837468872195387,0.1561248962406513,"16% Excluded, Against GOP",0.47 GOP Districts Lost,Multi-District,2,More Partisan Than 2010
NY,D+11,0.39,4.126548512789871,0.15283513010332855,New York ,-2,9.5,"15% Excluded, Against GOP",4.13 GOP Districts Lost,Map Completed,2,4.510920620036793,0.15554898689782046,"16% Excluded, Against GOP",4.51 GOP Districts Lost,Multi-District,2,Less Partisan Than 2010
NC,R+3,0.53,-2.6539864957164863,-0.20415280736280664,North Carolina ,-5,9.0,"2% Excluded, Against Dems",2.65 Dem Districts Lost,Map Completed,-2,-0.805015921179062,-0.061924301629158615,"6% Excluded, Against Dems",0.81 Dem Districts Lost,Multi-District,-1,More Partisan Than 2010
ND,R+10,0.6,-0.35350877192982455,-0.35350877192982455,North Dakota ,-2,3.5,"35% Excluded, Against Dems",0.35 Dem Districts Lost,Single District,-4,-0.35350877192982455,-0.35350877192982455,"35% Excluded, Against Dems",0.35 Dem Districts Lost,Single District,-4,No Change Since 2010
OH,R+1,0.51,-2.145016218942162,-0.13406351368388514,Ohio ,-3,8.0,"13% Excluded, Against Dems",2.15 Dem Districts Lost,Map Completed,-1,-0.43711935510173205,-0.02428440861676289,"2% Excluded, Against Dems",0.44 Dem Districts Lost,Multi-District,0,More Partisan Than 2010
OK,R+19,0.69,-1.3640350877192984,-0.27280701754385966,Oklahoma ,-6,4.5,"27% Excluded, Against Dems",1.36 Dem Districts Lost,Map Completed,-3,-1.464035087719298,-0.2928070175438596,"28% Excluded, Against Dems",1.46 Dem Districts Lost,Multi-District,-3,Less Partisan Than 2010
OR,D+5,0.45,0.5063071507903092,0.10126143015806184,Oregon ,-4,1.5,"1% Excluded, Against GOP",0.51 GOP Districts Lost,Map Completed,1,0.6279150322970946,0.12558300645941892,"13% Excluded, Against GOP",0.63 GOP Districts Lost,Multi-District,1,Less Partisan Than 2010
PA,D+1,0.49,-2.2027184670407944,-0.12237324816893302,Pennsylvania,-3,9.0,"12% Excluded, Against Dems",2.2 Dem Districts Lost,Map Completed,-1,-0.7107052900034052,-0.03740554157912659,"4% Excluded, Against Dems",0.71 Dem Districts Lost,Multi-District,0,More Partisan Than 2010
RI,D+11,0.39,0.7711012235817576,0.3855506117908788,Rhode Island ,-2,11.5,"39% Excluded, Against GOP",0.77 GOP Districts Lost,Map Completed,4,0.7711012235817576,0.3855506117908788,"39% Excluded, Against GOP",0.77 GOP Districts Lost,Multi-District,4,No Change Since 2010
SC,R+8,0.58,-1.521385513051614,-0.217340787578802,South Carolina ,-6,8.5,"22% Excluded, Against Dems",1.52 Dem Districts Lost,Map Completed,-2,-1.1478767411217898,-0.19131279018696498,"19% Excluded, Against Dems",1.15 Dem Districts Lost,Multi-District,-2,More Partisan Than 2010
SD,R+10,0.6,-0.35350877192982455,-0.35350877192982455,South Dakota ,-3,4.0,"35% Excluded, Against Dems",0.35 Dem Districts Lost,Single District,-4,-0.36350877192982456,-0.36350877192982456,"36% Excluded, Against Dems",0.36 Dem Districts Lost,Single District,-4,Less Partisan Than 2010
TN,R+12,0.62,-1.3096403066817732,-0.14551558963130815,Tennessee ,-5,7.0,"15% Excluded, Against Dems",1.31 Dem Districts Lost,Map Completed,-1,-1.5249066398121771,-0.1694340710902419,"17% Excluded, Against Dems",1.52 Dem Districts Lost,Multi-District,-2,Less Partisan Than 2010
TX,R+10,0.6,-2.53578591662745,-0.07043849768409584,Texas ,-7,4.0,"7% Excluded, Against Dems",2.54 Dem Districts Lost,Map Completed,-1,-3.268261637939162,-0.1021331761855988,"1% Excluded, Against Dems",3.27 Dem Districts Lost,Multi-District,-1,Less Partisan Than 2010
UT,R+22,0.72,-1.0270175438596487,-0.2567543859649122,Utah ,-5,4.0,"26% Excluded, Against Dems",1.03 Dem Districts Lost,Map Completed,-3,-0.8535087719298247,-0.2845029239766082,"28% Excluded, Against Dems",0.85 Dem Districts Lost,Multi-District,-3,Less Partisan Than 2010
VT,D+16,0.34,0.3355506117908788,0.3355506117908788,Vermont ,-1,10.0,"34% Excluded, Against GOP",0.34 GOP Districts Lost,Single District,3,0.3655506117908788,0.3655506117908788,"37% Excluded, Against GOP",0.37 GOP Districts Lost,Single District,4,Less Partisan Than 2010
VA,R+0,0.5,-1.0848927559748374,-0.09862661417953067,Virginia ,-5,8.0,"1% Excluded, Against Dems",1.08 Dem Districts Lost,Map Completed,-1,-1.3591485447414078,-0.12355895861285525,"12% Excluded, Against Dems",1.36 Dem Districts Lost,Multi-District,-1,Less Partisan Than 2010
WA,D+5,0.45,1.0597231802714724,0.10597231802714724,Washington ,-2,1.5,"11% Excluded, Against GOP",1.06 GOP Districts Lost,Map Completed,1,1.1378741791092541,0.12643046434547267,"13% Excluded, Against GOP",1.14 GOP Districts Lost,Multi-District,1,Less Partisan Than 2010
WV,R+13,0.63,-0.9705263157894737,-0.3235087719298246,West Virginia ,-4,7.5,"32% Excluded, Against Dems",0.97 Dem Districts Lost,Map Completed,-3,-0.9764098090530196,-0.3254699363510065,"33% Excluded, Against Dems",0.98 Dem Districts Lost,Multi-District,-3,Less Partisan Than 2010
WI,D+2,0.48,-0.04531122306802704,-0.00566390288350338,Wisconsin ,-2,5.5,"1% Excluded, Against Dems",0.05 Dem Districts Lost,Map Completed,0,0.33988819151098815,0.04248602393887352,"4% Excluded, Against GOP",0.34 GOP Districts Lost,Multi-District,0,Less Partisan Than 2010
WY,R+22,0.72,-0.28,-0.28,Wyoming,-3,3.0,"28% Excluded, Against Dems",0.28 Dem Districts Lost,Single District,-3,-0.2535087719298246,-0.2535087719298246,"25% Excluded, Against Dems",0.25 Dem Districts Lost,Single District,-3,More Partisan Than 2010
