District,Incumbent,Party,"First
elected",Result,Candidates
California 9,Barbara Lee,Democratic,1998,Incumbent re-elected.," Barbara Lee (Democratic) 84.6%
Claudia Bermudez (Republican) 12.3%
James Eyer (Libertarian) 3.1%"
California 10,Ellen Tauscher,Democratic,1996,Incumbent re-elected.," Ellen Tauscher (Democratic) 65.8%
Jeff Ketelson (Republican) 34.2%"
California 11,Richard Pombo,Republican,1992,Incumbent re-elected.," Richard Pombo (Republican) 61.3%
Jerry McNerney (Democratic) 38.7%"
California 12,Tom Lantos,Democratic,1980,Incumbent re-elected.," Tom Lantos (Democratic) 68.1%
Mike Garza (Republican) 20.8%
Patricia Gray (Green) 9.1%
Harland Harrison (Libertarian) 2.0%"
California 13,Pete Stark,Democratic,1972,Incumbent re-elected.," Pete Stark (Democratic) 71.7%
George Bruno (Republican) 24.0%
Mark Stroberg (Libertarian) 4.3%"
California 14,Anna Eshoo,Democratic,1992,Incumbent re-elected.," Anna Eshoo (Democratic) 69.8%
Chris Haugen (Republican) 26.6%
Brian Holtz (Libertarian) 3.6%"
California 15,Mike Honda,Democratic,2000,Incumbent re-elected.," Mike Honda (Democratic) 72.1%
Raymond Chukwu (Republican) 27.9%"
California 16,Zoe Lofgren,Democratic,1994,Incumbent re-elected.," Zoe Lofgren (Democratic) 70.9%
Douglas McNea (Republican) 26.4%
Markus Welch (Libertarian) 2.7%"
California 17,Sam Farr,Democratic,1992,Incumbent re-elected.," Sam Farr (Democratic) 66.8%
Mark Risley (Republican) 29.2%
Ray Glock-Greuneich (Green) 1.7%
Joe Williams (Peace and Freedom) 1.2%
Joel Smolen (Libertarian) 1.1%"
California 18,Dennis Cardoza,Democratic,2002,Incumbent re-elected.," Dennis Cardoza (Democratic) 67.5%
Charles Pringle (Republican) 32.5%"
California 19,George Radanovich,Republican,1996,Incumbent re-elected.," George Radanovich (Republican) 66.1%
James Lex Bufford (Democratic) 27.2%
Larry Mullen (Green) 6.7%"
California 20,Cal Dooley,Democratic,1990,"Incumbent retired.
New member elected.
Democratic hold."," Jim Costa (Democratic) 53.5%
Roy Ashburn (Republican) 46.5%"
California 21,Devin Nunes,Republican,2000,Incumbent re-elected.," Devin Nunes (Republican) 73.2%
Fred Davis (Democratic) 26.8%"
California 22,Bill Thomas,Republican,1978,Incumbent re-elected., Bill Thomas (Republican) Unopposed
California 23,Lois Capps,Democratic,1998,Incumbent re-elected.," Lois Capps (Democratic) 63.1%
Don Regan (Republican) 34.3%
Michael Favorite (Libertarian) 2.6%"
California 24,Elton Gallegly,Republican,1986,Incumbent re-elected.," Elton Gallegly (Republican) 62.9%
Brett Wagner (Democratic) 33.9%
Stuart Bechman (Green) 3.2%"
California 25,Buck McKeon,Republican,1992,Incumbent re-elected.," Buck McKeon (Republican) 64.5%
Tim Willoughby (Democratic) 35.5%"
California 26,David Dreier,Republican,1980,Incumbent re-elected.," David Dreier (Republican) 53.6%
Cynthia Matthews (Democratic) 42.8%
Randall Weissbuch (Libertarian) 3.6%"
California 27,Brad Sherman,Democratic,1996,Incumbent re-elected.," Brad Sherman (Democratic) 62.3%
Robert Levy (Republican) 33.3%
Eric Carter (Green) 4.4%"
California 28,Howard Berman,Democratic,1982,Incumbent re-elected.," Howard Berman (Democratic) 71.0%
David Hernandez Jr. (Republican) 23.3%
Kelley Ross (Libertarian) 5.7%"
California 29,Adam Schiff,Democratic,2000,Incumbent re-elected.," Adam Schiff (Democratic) 64.7%
Harry Scolinos (Republican) 30.4%
Philip Koebel (Green) 2.7%
Ted Brown (Libertarian) 2.2%"
California 30,Henry Waxman,Democratic,1974,Incumbent re-elected.," Henry Waxman (Democratic) 71.3%
Victor Elizalde (Republican) 28.7%"
California 31,Xavier Becerra,Democratic,1992,Incumbent re-elected.," Xavier Becerra (Democratic) 80.3%
Luis Vega (Republican) 19.7%"
California 32,Hilda Solis,Democratic,2000,Incumbent re-elected.," Hilda Solis (Democratic) 85.1%
Leland Faegre (Libertarian) 14.9%"
California 33,Diane Watson,Democratic,2001 (Special),Incumbent re-elected.," Diane Watson (Democratic) 88.6%
Robert Weber (Libertarian) 11.4%"
California 34,Lucille Roybal-Allard,Democratic,1992,Incumbent re-elected.," Lucille Roybal-Allard (Democratic) 74.5%
Wayne Miller (Republican) 25.5%"
California 35,Maxine Waters,Democratic,1990,Incumbent re-elected.," Maxine Waters (Democratic) 80.6%
Ross Moen (Republican) 15.1%
Gordon Mego ("
California 36,Jane Harman,Democratic,"1986/
2000",Incumbent re-elected.," Jane Harman (Democratic) 62.0%
Paul P. Whitehead (Republican) 33.5%
Alice Stek (Peace and Freedom) 2.5%
Mike Binkley (Libertarian) 2.0%"
California 37,Juanita Millender-McDonald,Democratic,1996,Incumbent re-elected.," Juanita Millender-McDonald (Democratic) 75.1%
Vernon Van (Republican) 20.2%
Herb Peters (Libertarian) 4.7%"
California 38,Grace Napolitano,Democratic,1998,Incumbent re-elected., Grace Napolitano (Democratic) Unopposed
California 39,Linda Sánchez,Democratic,2002,Incumbent re-elected.," Linda Sánchez (Democratic) 60.7%
Tim Escobar (Republican) 39.3%"
California 40,Ed Royce,Republican,1992,Incumbent re-elected.," Ed Royce (Republican) 68.0%
J. Tilman Williams (Democratic) 32.0%"
California 41,Jerry Lewis,Republican,1978,Incumbent re-elected.," Jerry Lewis (Republican) 83.0%
Peymon Mottahedeh (Libertarian) 17.0%"
California 42,Gary Miller,Republican,1998,Incumbent re-elected.," Gary Miller (Republican) 68.2%
Lewis Myers (Democratic) 31.8%"
California 43,Joe Baca,Democratic,1999 (Special),Incumbent re-elected.," Joe Baca (Democratic) 66.4%
Ed Laning (Republican) 33.6%"
California 44,Ken Calvert,Republican,1992,Incumbent re-elected.," Ken Calvert (Republican) 61.7%
Louis Vandenberg (Democratic) 35.0%
Kevin Akin (Peace and Freedom) 3.3%"
California 45,Mary Bono,Republican,1998,Incumbent re-elected.," Mary Bono (Republican) 66.7%
Richard Meyer (Democratic) 33.3%"
California 46,Dana Rohrabacher,Republican,1988,Incumbent re-elected.," Dana Rohrabacher (Republican) 62.0%
Jim Brandt (Democratic) 32.5%
Tom Lash (Green) 3.7%
Keith Gann (Libertarian) 1.8%"
California 47,Loretta Sanchez,Democratic,1996,Incumbent re-elected.," Loretta Sanchez (Democratic) 60.4%
Alexandria Coronado (Republican) 39.6%"
California 48,Christopher Cox,Republican,1988,Incumbent re-elected.," Christopher Cox (Republican) 65.0%
John Graham (Democratic) 32.2%
Bruce David Cohen (Libertarian) 2.8%"
California 49,Darrell Issa,Republican,2000,Incumbent re-elected.," Darrell Issa (Republican) 62.6%
Mike Byron (Democratic) 34.9%
Lars Grossmith (Libertarian) 2.5%"
California 50,Duke Cunningham,Republican,1990,Incumbent re-elected.," Duke Cunningham (Republican) 58.5%
Francine Busby (Democratic) 36.5%
Gary Waayers (Green) 2.2%
Diane Beall Templin ("
California 51,Bob Filner,Democratic,1992,Incumbent re-elected.," Bob Filner (Democratic) 61.7%
Mike Giorgino (Republican) 35.1%
Mike Metti (Libertarian) 3.2%"
California 52,Duncan L. Hunter,Republican,1980,Incumbent re-elected.," Duncan L. Hunter (Republican) 69.2%
Brian Keliher (Democratic) 27.6%
Mike Benoit (Libertarian) 3.2%"
California 53,Susan Davis,Democratic,2000,Incumbent re-elected.," Susan Davis (Democratic) 66.2%
Darin Hunzeker (Republican) 28.9%
Lawrence Rockwood (Green) 3.3%
Adam Van Susteren (Libertarian) 1.6%"
Colorado 1,Diana DeGette,Democratic,1996,Incumbent re-elected.," Diana DeGette (Democratic) 73.5%
Roland Chicas (Republican) 24.3%
George Lilly (Independent) 2.2%"
Colorado 2,Mark Udall,Democratic,1998,Incumbent re-elected.," Mark Udall (Democratic) 67.2%
Stephen Hackman (Republican) 30.4%
Norman Olsen (Libertarian) 2.4%"
Colorado 3,Scott McInnis,Republican,1992,"Incumbent retired.
New member elected.
Democratic gain."," John Salazar (Democratic) 50.5%
Greg Walcher (Republican) 46.6%
Jim Krug (Independent) 2.9%"
Colorado 4,Marilyn Musgrave,Republican,2002,Incumbent re-elected.," Marilyn Musgrave (Republican) 51.0%
Stan Matsunaka (Democratic) 44.8%
Bob Kinsey (Green) 4.2%"
Colorado 5,Joel Hefley,Republican,1986,Incumbent re-elected.," Joel Hefley (Republican) 70.6%
Fred Hardee (Democratic) 27.0%
Arthur Roberts (Libertarian) 2.4%"
Colorado 6,Tom Tancredo,Republican,1998,Incumbent re-elected.," Tom Tancredo (Republican) 59.7%
Joanna Conti (Democratic) 39.2%
Jack Woehr (Libertarian) 1.1%"
Colorado 7,Bob Beauprez,Republican,2002,Incumbent re-elected.," Bob Beauprez (Republican) 54.7%
Dave Thomas (Democratic) 42.8%
Clyde Harkins (Independent) 2.5%"
Connecticut 1,John B. Larson,Democratic,1998,Incumbent re-elected.," John B. Larson (Democratic) 73.0%
John Halstead (Republican) 27.0%"
Connecticut 2,Rob Simmons,Republican,2000,Incumbent re-elected.," Rob Simmons (Republican) 54.2%
Jim Sullivan (Democratic) 45.8%"
Connecticut 3,Rosa DeLauro,Democratic,1990,Incumbent re-elected.," Rosa DeLauro (Democratic) 72.4%
Richter Elser (Republican) 25.0%
Ralph Ferrucci (Green) 2.6%"
Connecticut 4,Chris Shays,Republican,1987 (Special),Incumbent re-elected.," Chris Shays (Republican) 52.4%
Diane Farrell (Democratic) 47.6%"
Connecticut 5,Nancy Johnson,Republican,1982,Incumbent re-elected.," Nancy Johnson (Republican) 59.8%
Theresa Gerratana (Democratic) 38.2%
Fernando Ramirez (Working Families) 1.1%
Wildey J. Moore (Concerned Citizens) 0.9%"
Delaware at-large,Mike Castle,Republican,1992,Incumbent re-elected.," Mike Castle (Republican) 69.1%
Paul Donnelly (Democratic) 29.7%
Maurice J. Barros (IPD) 0.7%(WI)
William E. Norris (Libertarian) 0.5%"
Florida 1,Jeff Miller,Republican,2001 (Special),Incumbent re-elected.," Jeff Miller (Republican) 76.5%
Mark Coutu (Democratic) 23.5%"
Florida 2,Allen Boyd,Democratic,1996,Incumbent re-elected.," Allen Boyd (Democratic) 61.6%
Bev Kilmer (Republican) 38.4%"
Florida 3,Corrine Brown,Democratic,1992,Incumbent re-elected., Corrine Brown (Democratic) Unopposed
Florida 4,Ander Crenshaw,Republican,2000,Incumbent re-elected., Ander Crenshaw (Republican) Unopposed
Florida 5,Ginny Brown-Waite,Republican,2002,Incumbent re-elected.," Ginny Brown-Waite (Republican) 65.9%
Robert Whittel (Democratic) 34.1%"
Florida 6,Cliff Stearns,Republican,1988,Incumbent re-elected.," Cliff Stearns (Republican) 64.4%
Dave Bruderly (Democratic) 35.6%"
Florida 7,John Mica,Republican,1992,Incumbent re-elected., John Mica (Republican) Unopposed
Florida 8,Ric Keller,Republican,2000,Incumbent re-elected.," Ric Keller (Republican) 60.5%
Stephen Murray (Democratic) 39.5%"
Florida 9,Michael Bilirakis,Republican,1982,Incumbent re-elected., Michael Bilirakis (Republican) Unopposed
Florida 10,Bill Young,Republican,1970,Incumbent re-elected.," Bill Young (Republican) 69.3%
Robert Dean Derry (Democratic) 30.7%"
Florida 11,Jim Davis,Democratic,1996,Incumbent re-elected.," Jim Davis (Democratic) 85.8%
Robert Johnson (Libertarian) 14.2%"
Florida 12,Adam Putnam,Republican,2000,Incumbent re-elected.," Adam Putnam (Republican) 64.9%
Bob Hagenmeier (Democratic) 35.1%"
Florida 13,Katherine Harris,Republican,2002,Incumbent re-elected.," Katherine Harris (Republican) 55.3%
Jan Schneider (Democratic) 44.7%"
Florida 14,Vacant,,,"Porter Goss (Republican) resigned September 23, 2004
Republican hold."," Connie Mack IV (Republican) 67.6%
Robert Neeld (Democratic) 32.4%"
Florida 15,Dave Weldon,Republican,1994,Incumbent re-elected.," Dave Weldon (Republican) 65.4%
Simon Pristoop (Democratic) 34.6%"
Florida 16,Mark Foley,Republican,1994,Incumbent re-elected.," Mark Foley (Republican) 68.0%
Jeffrey Jay Fisher (Democratic) 32.0%"
Florida 17,Kendrick Meek,Democratic,2002,Incumbent re-elected., Kendrick Meek (Democratic) Unopposed
Florida 18,Ileana Ros-Lehtinen,Republican,1989 (Special),Incumbent re-elected.," Ileana Ros-Lehtinen (Republican) 64.7%
Samuel Martin Sheldon (Democratic) 35.3%"
Florida 19,Robert Wexler,Democratic,1996,Incumbent re-elected., Robert Wexler (Democratic) Unopposed
Florida 20,Peter Deutsch,Democratic,1992,"Incumbent retired to run for U.S. Senator.
New member elected.
Democratic hold."," Debbie Wasserman Schultz (Democratic) 70.2%
Margaret Hostetter (Republican) 29.8%"
Florida 21,Lincoln Diaz-Balart,Republican,1992,Incumbent re-elected.," Lincoln Diaz-Balart (Republican) 72.8%
Frank Gonzalez (Libertarian) 27.2%"
Florida 22,Clay Shaw,Republican,1980,Incumbent re-elected.," Clay Shaw (Republican) 62.9%
Jim Stork (Democratic) 35.4%
Jack McLain Constitution 1.7%"
Florida 23,Alcee Hastings,Democratic,1992,Incumbent re-elected., Alcee Hastings (Democratic) Unopposed
Florida 24,Tom Feeney,Republican,2002,Incumbent re-elected., Tom Feeney (Republican) Unopposed
Florida 25,Mario Diaz-Balart,Republican,2002,Incumbent re-elected., Mario Diaz-Balart (Republican) Unopposed
Georgia 1,Jack Kingston,Republican,1992,Incumbent re-elected., Jack Kingston (Republican) Unopposed
Georgia 2,Sanford Bishop,Democratic,1992,Incumbent re-elected.," Sanford Bishop (Democratic) 66.8%
Dave Eversman (Republican) 33.2%"
Georgia 3,Jim Marshall,Democratic,2002,Incumbent re-elected.," Jim Marshall (Democratic) 62.9%
Calder Clay (Republican) 37.1%"
Georgia 4,Denise Majette,Democratic,2002,"Incumbent retired to run for U.S. Senator.
New member elected.
Democratic hold."," Cynthia McKinney (Democratic) 63.8%
Catherine Davis (Republican) 36.2%"
Georgia 5,John Lewis,Democratic,1986,Incumbent re-elected., John Lewis (Democratic) Unopposed
Georgia 6,Johnny Isakson,Republican,1998,"Incumbent retired to run for U.S. Senator.
New member elected.
Republican hold.", Tom Price (Republican) Unopposed
Georgia 7,John Linder,Republican,1992,Incumbent re-elected., John Linder (Republican) Unopposed
Georgia 8,Mac Collins,Republican,1992,"Incumbent retired to run for U.S. Senator.
New member elected.
Republican hold."," Lynn Westmoreland (Republican) 75.6%
Silvia Delamar (Democratic) 24.4%"
Georgia 9,Charlie Norwood,Republican,1994,Incumbent re-elected.," Charlie Norwood (Republican) 74.3%
Bob Ellis (Democratic) 25.7%"
Georgia 10,Nathan Deal,Republican,1992,Incumbent re-elected., Nathan Deal (Republican) Unopposed
Georgia 11,Phil Gingrey,Republican,2002,Incumbent re-elected.," Phil Gingrey (Republican) 57.4%
Rick Crawford (Democratic) 42.6%"
Georgia 12,Max Burns,Republican,2002,"Incumbent lost re-election.
New member elected.
Democratic gain."," John Barrow (Democratic) 51.8%
Max Burns (Republican) 48.2%"
Georgia 13,David Scott,Democratic,2002,Incumbent re-elected., David Scott (Democratic) Unopposed
Hawaii 1,Neil Abercrombie,Democratic,"1986 (Special)
1988 (Lost renomination)
1990",Incumbent re-elected.," Neil Abercrombie (Democratic) 63.0%
Dalton Tanonaka (Republican) 34.0%
Elyssa Young (Libertarian) 3.0%"
Hawaii 2,Ed Case,Democratic,2002 (Special),Incumbent re-elected.," Ed Case (Democratic) 62.8%
Mike Gabbard (Republican) 37.2%"
Idaho 1,Butch Otter,Republican,2000,Incumbent re-elected.," Butch Otter (Republican) 69.5%
Naomi Preston (Democratic) 30.5%"
Idaho 2,Mike Simpson,Republican,1998,Incumbent re-elected.," Mike Simpson (Republican) 70.7%
Lin Whitworth (Democratic) 29.3%"
Illinois 1,Bobby Rush,Democratic,1992,Incumbent re-elected.," Bobby Rush (Democratic) 84.8%
Raymond Wardingley (Republican) 15.2%"
Illinois 2,Jesse Jackson Jr.,Democratic,1995 (Special),Incumbent re-elected.," Jesse Jackson Jr. (Democratic) 88.5%
Stephanie Sailor (Libertarian) 11.5%"
Illinois 3,Bill Lipinski,Democratic,1982,"Incumbent retired.
New member elected.
Democratic hold."," Dan Lipinski (Democratic) 72.6%
Ryan Chlada (Republican) 25.7%
Krista Grimm 2.2%[3]"
Illinois 4,Luis Gutierrez,Democratic,1992,Incumbent re-elected.," Luis Gutierrez (Democratic) 83.7%
Tony Cisneros (Republican) 12.4%
Jacob Witmer (Libertarian) 3.9%"
Illinois 5,Rahm Emanuel,Democratic,2002,Incumbent re-elected.," Rahm Emanuel (Democratic) 76.2%
Bruce Best (Republican) 23.8%"
Illinois 6,Henry Hyde,Republican,1974,Incumbent re-elected.," Henry Hyde (Republican) 55.8%
Christine Cegelis (Democratic) 44.2%"
Illinois 7,Danny K. Davis,Democratic,1996,Incumbent re-elected.," Danny K. Davis (Democratic) 86.1%
Antonio Davis-Fairman (Republican) 13.9%"
Illinois 8,Phil Crane,Republican,1969 (Special),"Incumbent lost re-election.
New member elected.
Democratic gain."," Melissa Bean (Democratic) 51.7%
Phil Crane (Republican) 48.3%"
Illinois 9,Jan Schakowsky,Democratic,1998,Incumbent re-elected.," Jan Schakowsky (Democratic) 75.7%
Kurt Eckhardt (Republican) 24.3%"
Illinois 10,Mark Kirk,Republican,2000,Incumbent re-elected.," Mark Kirk (Republican) 64.1%
Lee Goodman (Democratic) 35.9%"
Illinois 11,Jerry Weller,Republican,1994,Incumbent re-elected.," Jerry Weller (Republican) 58.7%
Tari Renner (Democratic) 41.3%"
Illinois 12,Jerry Costello,Democratic,1988,Incumbent re-elected.," Jerry Costello (Democratic) 69.5%
Erin Zweigart (Republican) 28.8%
Walter Steele (Libertarian) 1.7%"
Illinois 13,Judy Biggert,Republican,1998,Incumbent re-elected.," Judy Biggert (Republican) 65.0%
Gloria Andersen (Democratic) 35.0%"
Illinois 14,Dennis Hastert,Republican,1986,Incumbent re-elected.," Dennis Hastert (Republican) 68.6%
Ruben K. Zamora (Democratic) 31.4%"
Illinois 15,Tim Johnson,Republican,2000,Incumbent re-elected.," Tim Johnson (Republican) 61.1%
David Gill (Democratic) 38.9%"
Illinois 16,Don Manzullo,Republican,1992,Incumbent re-elected.," Don Manzullo (Republican) 69.1%
John Kutsch (Democratic) 30.9%"
Illinois 17,Lane Evans,Democratic,1982,Incumbent re-elected.," Lane Evans (Democratic) 60.7%
Andrea Lane Zinga (Republican) 39.3%"
Illinois 18,Ray LaHood,Republican,1994,Incumbent re-elected.," Ray LaHood (Republican) 70.2%
Steve Waterworth (Democratic) 29.8%"
Illinois 19,John Shimkus,Republican,1996,Incumbent re-elected.," John Shimkus (Republican) 69.4%
Tim Bagwell (Democratic) 30.6%"
Indiana 1,Pete Visclosky,Democratic,1984,Incumbent re-elected.," Pete Visclosky (Democratic) 68.3%
Mark Leyva (Republican) 31.7%"
Indiana 2,Chris Chocola,Republican,2002,Incumbent re-elected.," Chris Chocola (Republican) 54.2%
Joe Donnelly (Democratic) 44.5%
Douglas Barnes (Libertarian) 1.3%"
Indiana 3,Mark Souder,Republican,1994,Incumbent re-elected.," Mark Souder (Republican) 69.2%
Maria Parra (Democratic) 30.8%"
Indiana 4,Steve Buyer,Republican,1992,Incumbent re-elected.," Steve Buyer (Republican) 69.5%
David Sanders (Democratic) 28.3%
Kevin Fleming (Libertarian) 2.2%"
Indiana 5,Dan Burton,Republican,1982,Incumbent re-elected.," Dan Burton (Republican) 71.8%
Katherine Fox Carr (Democratic) 26.0%
Rick Hodgin (Libertarian) 2.2%"
Indiana 6,Mike Pence,Republican,2000,Incumbent re-elected.," Mike Pence (Republican) 67.1%
Mel Fox (Democratic) 31.3%
Chad Roots (Libertarian) 1.6%"
Indiana 7,Julia Carson,Democratic,1996,Incumbent re-elected.," Julia Carson (Democratic) 54.3%
Andy Horning (Republican) 43.7%
Barry Campbell (Libertarian) 2.0%"
Indiana 8,John Hostettler,Republican,1994,Incumbent re-elected.," John Hostettler (Republican) 53.4%
Jon Jennings (Democratic) 44.5%
Mark Garvin (Libertarian) 2.1%"
Indiana 9,Baron Hill,Democratic,1998,"Incumbent lost re-election.
New member elected.
Republican gain."," Mike Sodrel (Republican) 49.4%
Baron Hill (Democratic) 49.0%
Al Cox (Libertarian) 1.6%"
Iowa 1,Jim Nussle,Republican,1990,Incumbent re-elected.," Jim Nussle (Republican) 55.2%
Bill Gluba (Democratic) 43.3%
Mark Neslon (Libertarian) 0.9%
Denny Heath (Independent) 0.6%"
Iowa 2,Jim Leach,Republican,1976,Incumbent re-elected.," Jim Leach (Republican) 58.9%
Dave Franker (Democratic) 39.2%
Kevin Litten (Libertarian) 1.9%"
Iowa 3,Leonard Boswell,Democratic,1996,Incumbent re-elected.," Leonard Boswell (Democratic) 55.2%
Stan Thompson (Republican) 44.8%"
Iowa 4,Tom Latham,Republican,1994,Incumbent re-elected.," Tom Latham (Republican) 60.9%
Paul Johnson (Democratic) 39.1%"
Iowa 5,Steve King,Republican,2002,Incumbent re-elected.," Steve King (Republican) 63.4%
Joyce Schulte (Democratic) 36.6%"
Kansas 1,Jerry Moran,Republican,1996,Incumbent re-elected.," Jerry Moran (Republican) 90.7%
Jack Warner (Libertarian) 9.2%"
Kansas 2,Jim Ryun,Republican,1996,Incumbent re-elected.," Jim Ryun (Republican) 56.1%
Nancy Boyda (Democratic) 41.2%
Dennis Hawver (Libertarian) 2.5%"
Kansas 3,Dennis Moore,Democratic,1998,Incumbent re-elected.," Dennis Moore (Democratic) 54.8%
Kris Kobach (Republican) 43.3%
Joe Bellis (Libertarian) 0.9%
Richard Wells (Ref.) 0.8%"
Kansas 4,Todd Tiahrt,Republican,1994,Incumbent re-elected.," Todd Tiahrt (Republican) 66.1%
Michael Kinard (Democratic) 31.0%
David Loomis (Libertarian) 2.8%"
Kentucky 1,Ed Whitfield,Republican,1994,Incumbent re-elected.," Ed Whitfield (Republican) 67.4%
Billy Cartwright (Democratic) 32.6%"
Kentucky 2,Ron Lewis,Republican,1994,Incumbent re-elected.," Ron Lewis (Republican) 67.9%
Adam Smith (Democratic) 32.1%"
Kentucky 3,Anne Northup,Republican,1996,Incumbent re-elected.," Anne Northup (Republican) 60.3%
Tony Miller (Democratic) 37.8%
George Dick (Libertarian) 1.9%"
Kentucky 4,Ken Lucas,Democratic,1998,"Incumbent retired.
New member elected.
Republican gain."," Geoff Davis (Republican) 54.4%
Nick Clooney (Democratic) 43.9%
Michael Slider (Independent) 1.7%"
Kentucky 5,Hal Rogers,Republican,1980,Incumbent re-elected., Hal Rogers (Republican) Unopposed
Kentucky 6,Ben Chandler,Democratic,2004,Incumbent re-elected.," Ben Chandler (Democratic) 58.6%
Tom Buford (Republican) 40.0%
Stacy Abner Constitution 0.8%
Mark Gailey (Libertarian) 0.6%"
Louisiana 1,David Vitter,Republican,1999 (Special),"Incumbent retired to run for U.S. Senator.
New member elected.
Republican hold."," Bobby Jindal (Republican) 78.4%
Roy Armstrong (Democratic) 6.7%
Vinny Mendoza (Democratic) 4.4%
Daniel Zimmerman (Democratic) 4.2%
Jerry Watts (Democratic) 3.5%
Mike Rogers (Republican) 2.8%"
Louisiana 2,William J. Jefferson,Democratic,1990,Incumbent re-elected.," William J. Jefferson (Democratic) 79.0%
Art Schwertz (Republican) 21.0%"
